,text,S/NS,O/NO,Y/N,display_text_width,is_quote,favorite_count,retweet_count,hashtags,media_type,mentions_screen_name,description,followers_count,friends_count,listed_count,statuses_count,favourites_count,verified
635,"""I'd rather die from the coronavirus than see a generational company be gone,"" said Justin Heyboer, a business owner who participated in the demonstration. https://t.co/k98WNMyjU2",S,NO,Y,179,False,3,4,,,,"News, lifestyle & sports stories from The News Journal and http://t.co/TzhU9HvW. Keep the conversation going. Send us your tips & tweets. Staffed by TNJ editors",118511,356,758,91437,623,True
636,@NPR Lansingâs curve will go up in 2 weeks!,S,O,N,38,False,0,0,,,NPR,"Basketball
Music
History
Professional Bus Driver",184,211,5,8481,5957,False
637,@NikkiMcR MAGA protest gathering during the coronavirus is like witnessing the mass extinction of morons. Heard the city Lansing is converting one of their ice ricks into a makeshift morgue. Iâm expect some of them will take residence in a week or so.,S,O,N,241,False,7,0,,,NikkiMcR,Iâm a pragmatic voter not looking for pie in the sky promises. Iâm a believer in evidence based practices. #RESIST #IMPEACHED4EVER45,1619,2347,4,23188,11113,False
638,"@ColMorrisDavis Iâve read the city and state plan to turn a ice rink into a makeshift morgue in Lansing, right up the street. I suspect some of them will be residence their in a few weeks.",S,O,N,172,False,0,1,,,ColMorrisDavis,Iâm a pragmatic voter not looking for pie in the sky promises. Iâm a believer in evidence based practices. #RESIST #IMPEACHED4EVER45,1619,2347,4,23188,11113,False
639,"@BillsMafiaTPA Ok, this one doesn't even make sense. Some of these people are blocking ways to Sparrow Hospital in Lansing.",NS,NO,N,108,False,0,0,,,BillsMafiaTPA,Hello.,167,565,0,4595,5131,False
640,"@BillsMafiaTPA Thankfully, Lansing news reports said ambulances could get in and out but there were care lined up, back to back outside honking their horns. Sparrow is RIGHT downtown. I hope it didn't affect any patients. I just think the whole thing is j",NS,NO,N,248,False,0,0,,,BillsMafiaTPA,Hello.,167,565,0,4595,5131,False
641,"@BillsMafiaTPA From what I've seen and heard, yes. I just spoke to by friends in Lansing. My buddy used to work at Sparrow. I would be happy to be proven wrong.",NS,NO,N,145,False,0,0,,,BillsMafiaTPA,Hello.,167,565,0,4595,5131,False
642,"@JBQ4401 @GarrettSoldano Shouldnât you be on your way to Lansing, Garrett. 

You shouldnât be posting and driving.",NS,NO,N,89,False,0,0,,,JBQ4401 GarrettSoldano,Mom to 4 amazing kids <f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+00A7><f0><U+009F><U+008F><U+00BB>. #Democrat #TheResistance #RightSideOfHistory,67123,10418,93,26648,54747,False
643,"@hrtablaze @NoahFromson @RayElaine22 @GovWhitmer @wzzm13 I donât know anything about the situation you posted so no, I wouldnât make a comment. 

I, however know that the protest today in Lansing was in fact all white. 

Anything else I can clear ",NS,NO,N,193,False,3,0,,,hrtablaze NoahFromson RayElaine22 GovWhitmer wzzm13,Mom to 4 amazing kids <f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+00A7><f0><U+009F><U+008F><U+00BB>. #Democrat #TheResistance #RightSideOfHistory,67123,10418,93,26648,54747,False
644,"@N_Random_Twit No, in Lansing.  The Michigan capitol.",NS,NO,N,38,False,11,1,,,N_Random_Twit,Mom to 4 amazing kids <f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+00A7><f0><U+009F><U+008F><U+00BB>. #Democrat #TheResistance #RightSideOfHistory,67123,10418,93,26648,54747,False
645,"@ScottStieger @LoopholeLennon Cry about what?  

Iâm not wasting my day driving around Lansing for absolutely no fucking reason.",S,NO,N,98,False,1,0,,,ScottStieger LoopholeLennon,Mom to 4 amazing kids <f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+00A7><f0><U+009F><U+008F><U+00BB>. #Democrat #TheResistance #RightSideOfHistory,67123,10418,93,26648,54747,False
646,"@LoopholeLennon Making history for having the largest gathering of entitled white men that are too stupid to know they are not gridlocking anything 

No one has been working in Lansing for weeks. 

Congratulations on making yourself look like a fool.",S,NO,N,234,False,2,1,,,LoopholeLennon,Mom to 4 amazing kids <f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+00A7><f0><U+009F><U+008F><U+00BB>. #Democrat #TheResistance #RightSideOfHistory,67123,10418,93,26648,54747,False
647,"A conservative group made up of entitled white men and their wives who canât think for themselves is headed to our capitol to protest our governors stay at home orders.

Their intention is to cause gridlock. 

Workers in Lansing have been working from home for weeks.

Dumb fucks",S,NO,N,279,False,2839,531,,,,Mom to 4 amazing kids <f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BB><f0><U+009F><U+0091><U+00A6><f0><U+009F><U+008F><U+00BC><f0><U+009F><U+0091><U+00A7><f0><U+009F><U+008F><U+00BB>. #Democrat #TheResistance #RightSideOfHistory,67123,10418,93,26648,54747,False
648,"@RoseOlszewski @MrAndyNgo funniest thing is pro-corona-virus right wing ANTIFA style 'zombie' protests at ""Ohio Statehouse"" 
conservative car rally in Lansing, MI
blocking ""whose streets? our streets""
NO BORDERS NO WALLS
CORONA-VIRUS HAS FEELINGS Y'AL",S,O,N,246,False,1,0,,,RoseOlszewski MrAndyNgo,"Heterodox, generally.
Amateur chef 4 fun & taste.
Tech experience, less or more.
(old nonsense bio deleted)",176,194,21,20177,19020,False
649,I'm so thoroughly disgusted by the rampant lunacy and casual disregard for life demonstrated in Lansing today.,NS,O,N,110,False,9,0,,,,"Research analyst, PhD in statistics, very apt to put my laundry in the oven, I'll make friends with your dog. Married. Happily. #Resist",1762,2920,2,5541,30768,False
650,"@TimInTheIce @ahtrapsm Confederate losers.   Pro-slavery a-holes.   And most of all, traitors.  These protestors in Lansing waving the confederate flag should remember that the Confederacy killed 15,000 Michiganders.",S,O,N,193,False,2,0,,,TimInTheIce ahtrapsm,,119,863,0,920,10501,False
651,@CaslerNoel @realDonaldTrump Hereâs an ambulance (with lights on) on North Grand River Avenue in Lansing trying to get to Sparrow Hospital https://t.co/CvijY0NwK9,NS,NO,N,109,False,1,0,,photo,CaslerNoel realDonaldTrump,,119,863,0,920,10501,False
652,"@RKJ65 @kjemcgregor @TheRickWilson @joshuabickel Yep. We had protests in Lansing, Michigan, but that particular zombie MAGA photo is from Ohio.",NS,O,N,94,False,13,0,,,RKJ65 kjemcgregor TheRickWilson joshuabickel,,119,863,0,920,10501,False
653,"@mjoyce317 @dbongino Does @Whitmer have all her faculties! Iâm about .04 miles from the State House in Lansing and there are snow flurries, nothing on the ground. Also, did she break out her crystal ball when signing all those executive orders!",S,NO,Y,223,False,1,1,,,mjoyce317 dbongino whitmer,"Conservative Constitutionalist, Limited Gov, Trump2020, Christian, Married, USMC, Vietnam Era Vet, Ret LEO, Prolife, Pro Mil, NO LIST or Inactive Trump Support",12572,12008,8,22283,18594,False
654,@Ann_marie1231 @ir_re_deem_able @CharlesgnrlJr Thatâs all I needed to hear Ann Marie. Long day in Lansing...a great day. Thanks for the reassurance!,NS,NO,Y,101,False,1,0,,,Ann_marie1231 ir_re_deem_able CharlesgnrlJr,"Conservative Constitutionalist, Limited Gov, Trump2020, Christian, Married, USMC, Vietnam Era Vet, Ret LEO, Prolife, Pro Mil, NO LIST or Inactive Trump Support",12572,12008,8,22283,18594,False
655,"@mitchsteur Good thing that gas prices are low. Other than the caravan in-route to Lansing, traffic has been somewhat light as of late for some reason.",S,NO,N,139,False,0,0,,,mitchsteur,"I am ArdieVerde. I put my shoes on one foot at a time.
Er'body got somethin' ta hide 'cept for me an' my monkey.",26,74,0,2024,190,False
656,@equipment_ohio I wish I had been in lansing today to spit in those idiots' faces,S,O,N,65,False,5,0,,,equipment_ohio,Another Truck Stop out now via @SxL_recs <U+2694><U+FE0F> ON TOUR EVENTUALLY?? w/@origamiangeldc<U+2694><U+FE0F> BOOKING: alex@ygafip.com <U+2694><U+FE0F> ((tweets by jack & gabriel)),4269,293,15,12102,49729,False
657,If you were in Lansing today protesting then youâre whatâs wrong with America smh... the display of simpletons was on full display today <f0><U+009F><U+00A4><U+00A6><f0><U+009F><U+008F><U+00BE><U+200D><U+2642><U+FE0F> #michiganshutdown,S,O,N,160,False,6,0,michiganshutdown,,,I'm just here for the Memes and Threads <f0><U+009F><U+0092><U+00AF><U+270C><f0><U+009F><U+008F><U+00BE><U+FE0F>#Excelsior #CaneGang #CLECAVS2016NBACHAMPS<f0><U+009F><U+008F><U+0080><f0><U+009F><U+008F><U+0086> #BelieveLand <f0><U+009F><U+0087><U+00AD><f0><U+009F><U+0087><U+00B9><f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B8>,293,643,4,19345,8503,False
658,Serious question: has anyone checked the license plates of the little MAGAt rally in Lansing today? Is it possible to do that? There were tons of out-of-state nutbags in Charlottesville. There's probably some overlap in attendance among the two tantrums.,S,O,N,254,False,0,0,,,,Just another pragmatist. Life without snark and sarcasm is dull.,344,1008,1,9263,5812,False
659,"@JesseKellyDC Wait, I'm confused. You ""warned"" DC/NYC that you were going to block an ambulance in Lansing, MI? It's precious you think that's impressive. But I'd bet you hear that a lot. When you say ""It's coming"", what do you mean, specifically?  Are yo",S,NO,N,280,False,0,0,,,JesseKellyDC,Just another pragmatist. Life without snark and sarcasm is dull.,344,1008,1,9263,5812,False
660,"@ag_due @Deoliver47 They can't force me or anyone else to un-isolate. But trying to will empower the yahoos like the ones driving around Lansing today shouting slurs at the Governor, and will create civil unrest, possible violence, looting, and general ch",NS,O,Y,279,False,0,0,,,ag_due Deoliver47,"Writing on New England Quakers & slavery, commenting on politics. Formerly @NHBAR. Aspiring anti-racist. Recreational runner. She/her.",61,161,0,1344,1486,False
661,@MysterySolvent Bunch of idiots. No social distancing at all.  Itâll be interesting to see the number of cases spike in Michigan because of the stupidity of people at the Lansing protest today.,S,O,N,177,False,0,0,,,MysterySolvent,Love my four beautiful kids more than anything. Proud member of the Resistance since November 2016,142,280,0,4174,23966,False
662,@BlueDeucePaul1 @drew_dunstone @Acosta I hear us nevadans are talking about April 18th social disobedience like they did in Lansing Michigan. Let me know if you hear anyting. Of course I'm up here in Carson City so I even be better to do it in front of th,NS,NO,Y,280,False,5,1,,,BlueDeucePaul1 drew_dunstone Acosta,"Nothing but the truth!! Even if asshats on Twitter can't accept it..
#KAG2020 #Trump2020LandslideVictory",577,697,1,4457,10478,False
663,"What we saw today in Lansing, MI is just the tip of the iceberg...  
LA Senator Kennedy on Tucker was right this evening: (paraphrased) more Americans will die from this closure than from the virus. https://t.co/aZWoH8Fman",S,NO,N,198,True,0,0,,,,"Conservative author, pilot and East Texas high school teacher, #patriot #KAG",11755,11560,31,16145,11641,False
664,"@realDonaldTrump I hate to admit it but I have to salute you sir. The protesters in Lansing are not how you intended for them to act and regardless of the support, you didnât condone this behavior. Nice move man. You surprised me today in a good way. Th",NS,NO,N,272,False,0,0,,,realDonaldTrump,"Truly a Pisces. An old soul, often swimming up a stream less traveled; Seeking adventures that may lead me to the most positive enegies this world has to offer.",127,382,0,812,318,False
665,"Lansing, Michigan sure had an interesting day",S,NO,N,45,False,0,0,,,,"American, Speedcuber, Entertainer, Philosopher, Politician, Student | Washburn 2023 | 2017 Kansas Rubikâs Cube Champion, 2017 Midwest Pyraminx Champion",95,93,0,266,800,False
666,"For those of you wondering why Confederate flags are being flown in Lansing today, SURPRISE!! 

The KKK is still alive and well in Michigan along with many other states:

Report says KKK groups are still active, one is in Michigan https://t.co/hLHlAtEPAS",S,NO,N,254,False,202,138,,,,,100807,72926,522,144386,212628,False
667,"While I am utterly disgusted by the Confederate flag waving Michiganders that displayed their ignorance in Lansing today, it serves as a reminder that blatant racism is alive &amp; well in the North.

Where that damned flag is an abomination no matter what Southern apologists say",S,NO,N,280,False,418,105,,,,,100807,72926,522,144386,212628,False
668,"Those idiots in Lansing have embarrassed me. 

Today is cancelled. 

Iâll start over tomorrow.",S,O,N,94,False,507,64,,,,,100807,72926,522,144386,212628,False
669,"Did the far-right wing orgs, Michigan Conservative Coalition &amp; DeVosâ backed Michigan Freedom Fund, go too far by inspiring ignorant people to converge on Lansing with guns &amp; Confederate flags during a pandemic displaying their ignorance for the world to see?

There I fixed it. https://t.co/WhKIc6Hk3t",S,NO,N,286,True,302,134,,,,,100807,72926,522,144386,212628,False
670,"People ask me why I like to stay in my corner of SouthEast Michigan. 

Those thugs congregating in Lansing today are a main reason why.",S,O,N,135,False,107,21,,,,,100807,72926,522,144386,212628,False
671,"If any #MichigandersAgainstExcessiveQuarantine end up being arrested for breaking the law in Lansing today, Iâm totally fine with that.",S,NO,N,135,False,107,13,MichigandersAgainstExcessiveQuarantine,,,,100807,72926,522,144386,212628,False
672,"Iâm going to sound petty for a minute but itâs the truth: 

All of those people out there protesting in Lansing today better hope that they can find medical care when clusters hit their rural hospitals in 1-2 weeks. 

The Detroit Metro hospitals are full right now.",S,O,N,265,False,1370,437,,,,,100807,72926,522,144386,212628,False
673,"@LostInGOPLand The protest was in Lansing. 

The rural hospitals are in rural areas.",NS,NO,N,69,False,14,1,,,LostInGOPLand,,100807,72926,522,144386,212628,False
674,"Itâs very simple: 

I support Governor Whitmer. 

I do not support the Confederate flag waving clowns who are busy blocking the path to Sparrow Hospital in Lansing because they are thugs.",NS,NO,N,187,False,12885,3316,,,,,100807,72926,522,144386,212628,False
675,"Before you fix your mouth to defend the idiots in my state who are âprotestingâ in Lansing, please be aware of who youâre defending and why: https://t.co/PvH5zVaMoJ",S,O,N,140,True,213,72,,,,,100807,72926,522,144386,212628,False
676,"Lest you think thatâs the only Confederate flag being flown in Lansing today, nope: 

https://t.co/fCGzGudUxo https://t.co/aofdEkkWuV",S,NO,N,109,True,26,11,,,,,100807,72926,522,144386,212628,False
677,"As a Michigan, I am frustrated, angered, and saddened by the fools in Lansing today.  That protest does NOT accurately represent the state. 

Sadly, outside Detroit, people don't think it will affect them. I get the fear about jobs, etc. but you can't work dead either.",S,O,N,269,False,3,1,,,,"RT <U+2260> E; 
A fan of many things
She/Her/Hers
Opinions are my own

--STAY THE F**** AT HOME!--",232,602,0,9507,49611,False
678,@KHPDispatch Starting today arrest everyone out on street . Heard itâs same as normal in Kansas. No way in hell they all essential . Btw come to Lansing have those cars are from there on road. Other halfâs from city of Leavenworth.,S,NO,N,218,False,0,0,,,KHPDispatch,,73,216,0,7900,8720,False
679,@JoyAnnReid What I find interesting is the fact the Lansing police department is basically right across the street from the Capitol.........did they do anything about the blocked street?,S,NO,N,174,False,0,0,,,JoyAnnReid,Mother and grandmother who wants a better government than what drumpf and his ilk are giving us.,66,410,0,7691,10648,False
680,Not just Lansing. All over the state. They're going to go home and spread it to their families and communities. https://t.co/MyMF3yiyth,S,NO,N,111,True,1,0,,,,"Ballot Access/Delegate Selection for #TeamPete @PeteButtigieg Recovering lawyer, old campaign hand. Ohio native, Michigan grad.  #goblue Opinions solely my own.",592,1815,27,28994,4254,False
681,"This is bound to end well... 
Thousands converge in Michigan's capital to protest governor's 'stay home, stay safe' order. (The state has 28,000 cases and 2,000 deaths), by @paulegan4  https://t.co/4YDwCYiXI9 via @freep @tarahaelle #COVID19",S,NO,N,240,False,57,25,COVID19,,paulegan4 freep tarahaelle,"AndrÃ© Picard is the health columnist at The Globe and Mail. Author of ""Matters of Life and Death."" I tweet and RT about health issues, running and journalism.",104956,1771,2786,129934,1503,True
682,"*ahem* ""Operation Gridlock"" successfully making it more difficult/near impossible for essential workers/emergency services to get around Lansing. #michiganshutdown 
You can thank the gun holding folks down at the capital for that... #StandWithWhitmer #StayHome https://t.co/GcXvIggzpa",S,NO,N,260,True,1,0,michiganshutdown StandWithWhitmer StayHome,,,"<f0><U+009F><U+0097><U+00BD> #Bernie2020 <f0><U+009F><U+008F><U+00A5> #Tulsi2024 <f0><U+009F><U+0087><U+00BA><f0><U+009F><U+0087><U+00B2>
<f0><U+009F><U+00A4><U+0099><f0><U+009F><U+008F><U+00BB>We The People<f0><U+009F><U+0095><U+008A>
Passionate about our country's future.
Gaming | Family | My Dogs | Mini Coopers | CT<U+27A1><U+FE0F>NC
#BernieOrBust",363,690,4,7029,50009,False
683,"I canât believe a protest just happened at Lansing, Michigan, my HOME TOWN!",NS,NO,Y,75,False,2,0,,,,"Hello everyone. I am Alex the Gaming Boy, and welcome to my Twitter account. I may post NSFW content here, if you don't like it, please unfollow me.",238,2659,8,144626,142568,False
684,"The folks clogging Lansing in their reckless anti-safety protest, do not represent the majority of the voters in Michigan (where I pay property taxes dammit).",NS,NO,N,158,False,3,0,,,,Faculty design partner with NPS & museums via https://t.co/SPDqqjAQsq. Dev for mobile/desk. Agile & spatially cognitive. 508 refresh!  BOD for @PowSciCenter,1218,2413,78,3779,745,False
685,"@b_momani The liberal elites push excessive lockdown, they have the money to draw on. The working class forced into death by poverty. 
#endthelockout #lansing #operationgridlock",NS,O,Y,167,False,1,1,endthelockout lansing operationgridlock,,b_momani,"Flying Dutchman. U of Michigan, SC Feijenoord,  Sunderland AFC, Toronto FC, Buffalo Bills, Toronto Argonauts, Rangers FC, Clay Travis, Fryslan, PVV, Trump 2020,",8,213,0,1110,771,False
686,Kudos to our American friends in #Lansing #OperationGridlock #endthelockdown https://t.co/9JEaFpT5Mt,NS,NO,Y,100,False,3,3,Lansing OperationGridlock endthelockdown,,,Mom ~ Insurance and Investment Advisor ~ Wealth Strategist ~ Real Estate Investor ~ into Personal Development & Healthy Living #truther,933,2498,41,1222,3382,False
687,These are the kind of people who went to protest today in Lansing. What JOKES https://t.co/jNF42HIK2J,S,O,N,77,False,7,0,,photo,,@suljom17 <f0><U+009F><U+0092><U+008D><f0><U+009F><U+00A4><U+008D> Be kind to one another.,1407,952,4,20446,16763,False
688,"Do you who has been quiet during all of this? The private insurance companies. You would think that they would be all in for testing and social distancing. 

I mean, if I were an insurance company and saw one of my clients on tv in Lansing, Iâd yank the policy",S,NO,N,260,False,1,1,,,,"I do web stuff. Drupal, PHP, Python. I help federal offices communicate with constituents.",4029,4406,9,1855,2431,False
689,"Me watching the sh!t go down in Lansing dreaming of the day these Trumpers need a ventilator - or coffin, whatever. https://t.co/UUML6c2Foa",S,O,N,115,False,0,0,,photo,,"I do web stuff. Drupal, PHP, Python. I help federal offices communicate with constituents.",4029,4406,9,1855,2431,False
690,"This Lansing, MI thing is the peaceful  first in a volley of unrest coming up in North America.",NS,NO,Y,95,False,2,0,,,,Golf US Politics MLB World News Canadian Politicians Hockey Law Enforcement Canadian Politics NFL Toronto Maple Leafs Politics. MCGA,2041,4999,1,5353,3981,False
691,"This should be a wake up call to all would-be tyrants on the Left:

The majority of Americans love and revere our Constitution and expect their  political leaders to as well.

We know our Creator granted us our rights, NOT GOVERNMENT!
 https://t.co/FDn1eWkXeV via @gatewaypundit",NS,O,Y,278,False,1,0,,,gatewaypundit,"Member, Academy of Motion Picture Arts and Sciences #Deplorable",845,1392,5,2353,2639,False
692,"If you hopped into your Dodge and drove to Lansing so you could participate in the traffic jam ""protest"" RE ""I'm so mad I can't walk into Big Boy, get infected, and suffocate on ammonia until I die!""--I mean...wouldn't it just be less trouble if you drove into the Detroit River? https://t.co/gfaRt5mjsa",S,O,N,279,True,12,0,,,,"Dad, progressive author (Framing The Debate), CBC TV pundit, HuffPo, Mediaite, Frameshop, Michigander in NYC, urban gardner.",42792,45603,2053,18155,239,False
693,"Have you ever seen a more pathetic gathering of knuckle dragging  braindead losers in your life? Are the guns so they can shoot the coronavirus or so they can intimidate the governor saving thousands of lives with courage and leadership?  I mean...

https://t.co/YpXQw0eU1W",S,O,N,273,False,8,4,,,,"Dad, progressive author (Framing The Debate), CBC TV pundit, HuffPo, Mediaite, Frameshop, Michigander in NYC, urban gardner.",42792,45603,2053,18155,239,False
694,"@AynRandPaulRyan Not only a boom in cases in Lansing. 
I think the participants came into Lansing from many areas, and then headed home?",S,NO,N,119,False,0,0,,,AynRandPaulRyan,"Livng with my loving partner in Wilmington NC Born/raised in Green Bay, Wi Also lived in Bay Area Ca.<U+2764><U+FE0F>Art Poetry Chess Music<U+2665><U+FE0F>Ric<f0><U+009F><U+0092><U+0099>

#Biden2020 #Kamala",1121,2410,47,56951,49595,False
695,"@Pantingdeer5 @MIGOP @PureMichigan Yes, many guns were prominently displayed on the steps of the State Capitol in Lansing Michigan today.

And yes, marches can turn violent. There's plenty of examples across the political spectrum.",S,NO,Y,196,False,0,0,,,Pantingdeer5 MIGOP PureMichigan,Truth is Truth.  Willing to engage  #MAGATS #GUNHUGGERS #etc. Be honest or go away.  #BANHIGHCAPACiTYMAGS,1375,1826,3,12676,39678,False
696,"Trump supporters of Lansing MI are angry at Gov. Whitmer's public health policies to #flattenthecurve. 153 Michiganders died today of covid19. If the US had responded more promptly, we could have reduced the spread and the deaths. Trump supporters seem immune to that info #mapoli https://t.co/Or477fFjkx",S,NO,N,280,False,0,0,flattenthecurve mapoli,photo,,"First they came for the immigrants, and I did not speak outâbecause I was not an immigrants. Then they came for the judges",10722,7421,613,354812,40420,False
697,"I want to offer my sincere gratitude to all the people who showed up in Lansing to protest @GovWhitmer 's communistic, controlling hold over the population of Michigan. Her nonsensical edicts have extended far beyond the boundaries of the Constitution. https://t.co/GWpRcM44X8",NS,NO,Y,252,True,2,1,,,GovWhitmer,"I am a faithful follower of Jesus Christ. I am pro 1st and 2nd Amendments, and staunchly pro life. I am retired and have 5 grandchildren.",16,249,0,320,1856,False
698,@DannyMac670 @ABC They all came from outside Lansing.,NS,NO,N,35,False,1,0,,,DannyMac670 ABC,"One less car <U+24CB> #BikeChi ""Socialism is the people. If you're afraid of socialism, you're afraid of yourself."" ~Hampton <U+262D>",439,259,4,4853,4703,False
699,"@dfwagoner They also blocked ambulances and Sparrow hospital, the only level 1 trauma center in Lansing. 

https://t.co/tbx6stzfoA",NS,NO,N,119,True,0,1,,,dfwagoner,"One less car <U+24CB> #BikeChi ""Socialism is the people. If you're afraid of socialism, you're afraid of yourself."" ~Hampton <U+262D>",439,259,4,4853,4703,False
700,"@YokohamaRides Lansing is a tiny city of barely 112,000, with only 134 patrol officers. Even if they wanted to there was little they could do about this.",NS,NO,N,138,False,0,0,,,YokohamaRides,"One less car <U+24CB> #BikeChi ""Socialism is the people. If you're afraid of socialism, you're afraid of yourself."" ~Hampton <U+262D>",439,259,4,4853,4703,False
701,"I just had an old acquaintance from college FB message me, bragging that his truck made it onto the @detroitnews page from todayâs Pro-Coronavirus rally in Lansing.

Weâre not friends on FB anymore, I unfriended him years ago for white supremacist comments.",S,NO,N,257,False,0,0,,,detroitnews,"Husband, Asst. Principal, Montessorian. <f0><U+009F><U+0091><U+00A8><f0><U+009F><U+008F><U+00BC><U+200D><f0><U+009F><U+008F><U+00AB><f0><U+009F><U+00A7><U+0091><f0><U+009F><U+008F><U+00BD><U+200D><f0><U+009F><U+008F><U+00AB> #WeRise #DoneWaiting #UrbanEdquity",349,496,10,8205,16406,False
702,@kombiz âWho is still supporting Trump? Heâs doing a terrible job and heâs an awful human being?â  âToday in Lansing explained a lot......none of it good news!!,S,NO,N,152,False,0,0,,,kombiz,"Fuck Fun!! Heâll be entertaining, they said! 45 continues to think only of himself <f0><U+009F><U+0098><U+00A1>Is anyone around him able to speak truth to power??? #Feminist #Resist #FBR",31,239,0,139,550,False
703,When can we just start exiling this assholes to a deserted island? - Protesters block traffic around Michigan Capitol in Lansing https://t.co/GXxduoplKe,S,O,N,152,False,0,0,,,,"Engineer, Outdoorsman",851,1273,81,112229,238441,False
704,Operation gridlock is insane shout out to everyone fighting the good fight in Lansing Michigan,NS,NO,Y,94,False,0,0,,,,PSALM 31:9,482,437,0,10480,6272,False
705,Northern Michigan is exercising our 1st Amendment rights tomorrow for those that canât make it to Lansing.  #EnoughIsEnough https://t.co/1eIy5NgZiw,NS,NO,Y,123,False,1,1,EnoughIsEnough,photo,,"Activist for liberty, freedom and the Constitution. Mother of One beautiful daughter, former pharma rep, now doing PR and fundraising for Constitution Celebr.",163,254,5,294,1087,False
706,"<U+2066>@realDonaldTrump<U+2069> âWalk for Freedomâ in Traverse City, MI today those who couldnât travel to Lansing for Operation Gridlock.  Smaller scale rally but good turn out. Notice the social distancing no one else in pic. Love the sign. https://t.co/4kkFz8ppsw",NS,NO,Y,229,False,0,0,,photo,realDonaldTrump,"Activist for liberty, freedom and the Constitution. Mother of One beautiful daughter, former pharma rep, now doing PR and fundraising for Constitution Celebr.",163,254,5,294,1087,False
707,"@MissTanya The White Walkers in Ohio look nice. The morons in Lansing look real nice, too. <f0><U+009F><U+0098><U+00B3>",S,O,N,81,False,2,0,,,MissTanya,"I love Detroit sports, and I take pictures of my food. What happens to people all over the World matters. #Vote",2126,1042,54,110241,190201,False
708,"#MichiganShutdown bragging about a job well done that resulted in ambulances stuck in traffic, public transit closed, &amp; driveways to only level 1 trauma center blocked in Lansing. Proud Boys, III%, DeVos MAGA trolls, are domestic extremists not patriots. https://t.co/qkPY5SzWVC",S,O,N,282,True,3,1,MichiganShutdown,,,"Surly #Disabled #Health & #HumanRights Advocate, Burning Flame, #Disability Vblogger, #VoteBlue #TheResistance https://t.co/Aj840hz1av",4271,5004,168,63895,66742,False
709,"@briantylercohen @DebraMessing I live in Lansing. They had the roads around the hospital blocked off too. Many of my medical friends were worried about patients getting the help that they need. By gathering and yelling about your freedom, you could be ste",NS,NO,N,271,False,0,0,PleaseDoNotBeSelfish,,briantylercohen DebraMessing,"Michigan Artist <f0><U+009F><U+00A4><U+009A><f0><U+009F><U+008E><U+00A8> Nerd <f0><U+009F><U+00A4><U+0093> Crazy Cat Lady <f0><U+009F><U+0098><U+00BB>
Just making a mess and trying new things
Contact: potsandpigments@gmail.com",15,442,0,40,4103,False
710,"Cry Baby Convention in Lansing today. Embarrassing <f0><U+009F><U+00A4><U+00A6><f0><U+009F><U+008F><U+00BC><U+200D><U+2640><U+FE0F>

Most of them will probably get sick and spread the virus more considering they failed to practice any part of Social Distancing.",S,O,N,186,False,0,0,,,,"GVSU Alumni Class of 2015. Jackson, MI <U+27A1><U+FE0F> Grand Rapids, MI <f0><U+009F><U+0092><U+0095>",280,484,4,4967,3258,False
711,"@JodySmithNFL @jwgop Lansing, Michigan.  Happy Birthday. Just think of the stories you will have to tell someday.",NS,NO,N,92,False,0,0,,,JodySmithNFL jwgop,,32,153,0,882,2981,False
712,"@soledadobrien There was a lunatic protesting the governorâs stay at home orders in Lansing, MI today and what she was most worried about was her grey roots.",S,O,N,142,False,0,0,,,soledadobrien,,32,153,0,882,2981,False
713,@IvankaTrump I hope you are reading this I was in Lansing I've followed your dad everywhere he went I was in Grand rapids when he came that night he's the only person I ever voted for I was too young to vote for Reagan. I feel so sorry for your dad I knew,NS,NO,Y,272,False,0,0,,,IvankaTrump,Just a country girl that loves racing being outdoors and working on cars. Southern syle,16,146,0,413,987,False
